transaction_id,card_id,merchant_id,transaction_amount,transaction_datetime,transaction_location,transaction_status,is_fraud
100001,1200,249,2.41,2025-04-20 06:08:47,Online,Approved,1
100002,1034,127,2.06,2025-08-07 16:44:37,Online,Approved,1
100003,3004,109,1.4,2025-07-06 04:16:10,Online,Approved,1
100004,2592,109,1.93,2025-03-11 08:54:36,Online,Approved,1
100005,1214,79,1.73,2024-11-22 00:10:18,Online,Approved,1
100006,1933,347,4508.89,2025-07-15 15:31:19,Naxçıvan,Approved,1
100007,2905,342,3195.09,2024-10-05 00:07:58,Sumqayıt,Approved,1
100008,1228,81,661.25,2025-08-15 09:20:31,USA,Approved,1
100009,1582,248,4508.75,2025-05-04 20:40:32,Quba,Approved,1
100010,49,271,2.08,2025-07-26 02:58:19,Online,Approved,1
100011,1451,83,2161.74,2025-01-27 18:40:21,USA,Approved,1
100012,3012,7,1961.03,2025-02-16 17:54:54,Bakı,Approved,1
100013,52,78,1.64,2024-12-29 14:54:43,Online,Approved,1
100014,925,79,2.26,2025-05-20 06:10:33,Online,Approved,1
100015,1506,79,2.2,2024-10-07 06:44:57,Online,Approved,1
100016,3004,35,3748.32,2024-11-10 07:20:01,Turkey,Approved,1
100017,207,78,2087.87,2025-02-19 01:06:15,China,Approved,1
100018,328,162,3059.35,2025-09-12 20:43:16,Gəncə,Approved,1
100019,2502,219,2379.58,2025-05-18 02:17:26,Sumqayıt,Approved,1
100020,1208,80,0.64,2024-12-28 20:24:14,Online,Approved,1
100021,2373,81,1524.26,2024-10-19 10:12:00,USA,Approved,1
100022,2673,244,204.98,2025-06-15 00:31:19,Online,Approved,1
100023,2827,78,2114.84,2025-04-03 12:26:46,China,Approved,1
100024,2159,301,4120.11,2025-02-07 17:45:25,Şəki,Approved,1
100025,192,83,0.7,2025-09-28 00:28:37,Online,Approved,1
100026,254,288,2.46,2025-03-02 07:45:42,Online,Approved,1
100027,1797,74,1186.1,2025-07-28 09:21:07,USA,Approved,1
100028,1043,138,2508.95,2025-08-23 02:38:45,Sumqayıt,Approved,1
100029,510,337,2332.75,2025-08-22 13:06:55,Quba,Approved,1
100030,1633,342,4265.84,2024-10-30 23:34:55,Sumqayıt,Approved,1
100031,2905,60,1692.13,2025-08-15 01:01:40,Gəncə,Approved,1
100032,2232,334,390.59,2025-08-16 17:05:57,Online,Approved,1
100033,338,97,480.78,2025-01-15 00:46:42,Online,Approved,1
100034,595,7,3806.45,2025-04-14 14:05:42,Lənkəran,Approved,1
100035,1351,318,116.6,2024-10-14 22:28:34,Online,Approved,1
100036,1034,78,1961.24,2025-01-04 02:08:13,China,Approved,1
100037,338,306,4236.17,2024-11-20 20:41:41,Şəki,Approved,1
100038,2952,123,196.47,2024-12-02 00:50:44,Online,Approved,1
100039,681,105,278.67,2025-05-07 11:41:06,Online,Approved,1
100040,1816,344,168.86,2025-01-03 09:55:42,Online,Approved,1
100041,2981,285,3511.4,2025-06-14 10:57:07,Mingəçevir,Approved,1
100042,2396,105,379.18,2025-05-06 07:46:06,Online,Approved,1
100043,2276,239,1.15,2024-12-29 08:01:23,Online,Approved,1
100044,663,242,1.17,2025-07-03 05:39:24,Online,Approved,1
100045,1214,35,1802.5,2025-01-17 14:22:48,Turkey,Approved,1
100046,1489,105,249.35,2024-10-17 04:38:28,Online,Approved,1
100047,2122,81,1.21,2025-08-24 04:21:58,Online,Approved,1
100048,192,330,1.18,2025-06-05 20:51:34,Online,Approved,1
100049,1601,80,2.18,2025-03-20 13:30:23,Online,Approved,1
100050,52,74,1393.34,2025-08-22 12:02:25,USA,Approved,1
100051,328,318,470.4,2025-07-22 16:49:35,Online,Approved,1
100052,658,77,1453.01,2025-06-17 22:33:34,USA,Approved,1
100053,207,192,0.53,2025-08-07 10:00:19,Online,Approved,1
100054,1346,79,1.47,2024-12-06 00:41:08,Online,Approved,1
100055,2502,302,4810.95,2025-04-06 14:45:08,Mingəçevir,Approved,1
100056,1539,288,0.65,2025-01-18 23:29:58,Online,Approved,1
100057,1539,83,1620.02,2025-09-17 19:51:42,USA,Approved,1
100058,2590,123,458.36,2025-04-22 23:15:40,Online,Approved,1
100059,2222,78,1674.36,2025-04-10 20:31:37,China,Approved,1
100060,2499,48,1765.86,2024-11-02 21:34:26,USA,Approved,1
100061,938,97,275.93,2025-07-30 13:31:59,Online,Approved,1
100062,1737,212,4656.04,2025-01-06 12:26:01,Mingəçevir,Approved,1
100063,2516,353,4624.7,2025-09-07 09:57:59,Lənkəran,Approved,1
100064,1034,124,1.3,2025-09-20 23:45:06,Online,Approved,1
100065,1607,170,2703.5,2024-11-22 14:16:41,Sumqayıt,Approved,1
100066,1386,83,1255.19,2025-03-01 14:26:53,USA,Approved,1
100067,1537,99,450.27,2025-02-19 05:59:52,Online,Approved,1
100068,558,81,1529.66,2025-07-04 21:33:46,USA,Approved,1
100069,2592,330,2.37,2025-08-28 11:25:32,Online,Approved,1
100070,2868,186,125.98,2025-09-19 09:16:57,Online,Approved,1
100071,1351,371,3431.77,2025-04-23 03:35:19,Mingəçevir,Approved,1
100072,1548,146,2867.78,2025-06-29 02:00:04,Mingəçevir,Approved,1
100073,1386,125,4851.29,2025-08-02 03:35:42,Quba,Approved,1
100074,738,84,2179.13,2024-12-26 14:07:09,Şəki,Approved,1
100075,1607,76,1085.49,2024-09-30 18:12:22,USA,Approved,1
100076,1574,309,292.4,2025-04-02 16:15:16,Online,Approved,1
100077,537,300,155.91,2025-02-08 19:06:14,Online,Approved,1
100078,254,256,80.92,2025-03-07 04:00:48,Online,Approved,1
100079,2276,76,0.95,2025-01-03 20:14:37,Online,Approved,1
100080,1034,83,1088.91,2025-08-13 20:42:38,USA,Approved,1
100081,2534,166,377.06,2025-07-06 12:18:48,Online,Approved,1
100082,681,341,1792.26,2025-06-15 14:27:34,Bakı,Approved,1
100083,1797,83,1383.68,2024-10-04 06:44:48,USA,Approved,1
100084,304,15,4682.6,2025-07-08 14:14:05,Lənkəran,Approved,1
100085,1890,396,1.69,2025-04-19 08:37:53,Online,Approved,1
100086,1386,262,265.56,2025-06-10 08:41:11,Online,Approved,1
100087,437,124,1.2,2025-09-29 01:03:24,Online,Approved,1
100088,2938,344,373.26,2025-03-21 05:22:19,Online,Approved,1
100089,558,74,2109.89,2025-03-03 17:53:38,USA,Approved,1
100090,510,190,3086.5,2024-11-08 01:21:20,Bakı,Approved,1
100091,2592,244,3856.64,2024-12-10 21:13:59,Naxçıvan,Approved,1
100092,338,105,437.98,2024-10-04 06:38:08,Online,Approved,1
100093,1506,127,1.15,2025-08-29 05:36:37,Online,Approved,1
100094,2314,218,4291.01,2025-05-15 08:44:23,Naxçıvan,Approved,1
100095,2329,78,0.93,2025-07-03 03:18:58,Online,Approved,1
100096,439,282,4785.73,2025-05-04 06:51:32,Şəki,Approved,1
100097,1489,35,1963.59,2025-03-22 22:29:52,Turkey,Approved,1
100098,643,100,246.92,2025-03-26 04:03:03,Online,Approved,1
100099,1582,83,2011.78,2024-12-01 21:05:42,USA,Approved,1
100100,2671,143,94.66,2024-10-24 15:05:34,Online,Approved,1
100101,1799,300,322.41,2025-07-23 14:18:03,Online,Approved,1
100102,2314,78,1438.16,2025-02-04 01:24:07,China,Approved,1
100103,1346,81,1666.76,2024-12-27 21:25:02,USA,Approved,1
100104,1198,35,2008.7,2025-09-15 02:25:36,Turkey,Approved,1
100105,1601,154,297.75,2025-06-30 21:04:53,Online,Approved,1
100106,2974,351,3027.19,2024-12-02 22:49:12,Naxçıvan,Approved,1
100107,658,82,2.41,2025-01-06 01:46:21,Online,Approved,1
100108,1815,373,2338.66,2025-09-21 02:04:37,Lənkəran,Approved,1
